loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0955,2.2700000000000003e-05,1.91,227,,,,,,,,,,,,,
0.0552,2.2800000000000002e-05,1.92,228,,,,,,,,,,,,,
0.0552,2.29e-05,1.92,229,,,,,,,,,,,,,
0.0684,2.3000000000000003e-05,1.93,230,,,,,,,,,,,,,
0.0977,2.3100000000000002e-05,1.94,231,,,,,,,,,,,,,
0.1421,2.32e-05,1.95,232,,,,,,,,,,,,,
0.0874,2.3300000000000004e-05,1.96,233,,,,,,,,,,,,,
0.0784,2.3400000000000003e-05,1.97,234,,,,,,,,,,,,,
0.1063,2.35e-05,1.97,235,,,,,,,,,,,,,
0.0942,2.36e-05,1.98,236,,,,,,,,,,,,,
0.0485,2.37e-05,1.99,237,,,,,,,,,,,,,
0.0672,2.38e-05,2.0,238,,,,,,,,,,,,,
,,2.0,238,0.06851746141910553,0.8605263157894737,0.7730496453900709,0.8144458281444583,0.9778309409888357,1.2009,352.237,22.483,,,,,
0.0599,2.39e-05,2.01,239,,,,,,,,,,,,,
0.0442,2.4e-05,2.02,240,,,,,,,,,,,,,
0.0296,2.41e-05,2.03,241,,,,,,,,,,,,,
0.0421,2.4200000000000002e-05,2.03,242,,,,,,,,,,,,,
0.0628,2.43e-05,2.04,243,,,,,,,,,,,,,
0.0959,2.44e-05,2.05,244,,,,,,,,,,,,,
0.0462,2.45e-05,2.06,245,,,,,,,,,,,,,
0.0632,2.46e-05,2.07,246,,,,,,,,,,,,,
0.0626,2.47e-05,2.08,247,,,,,,,,,,,,,
0.0378,2.48e-05,2.08,248,,,,,,,,,,,,,
0.0361,2.4900000000000002e-05,2.09,249,,,,,,,,,,,,,
0.0476,2.5e-05,2.1,250,,,,,,,,,,,,,
0.0731,2.51e-05,2.11,251,,,,,,,,,,,,,
0.0579,2.5200000000000003e-05,2.12,252,,,,,,,,,,,,,
0.0499,2.5300000000000002e-05,2.13,253,,,,,,,,,,,,,
0.0382,2.54e-05,2.13,254,,,,,,,,,,,,,
0.0413,2.5500000000000003e-05,2.14,255,,,,,,,,,,,,,
0.0558,2.5600000000000002e-05,2.15,256,,,,,,,,,,,,,
0.0444,2.57e-05,2.16,257,,,,,,,,,,,,,
0.0503,2.58e-05,2.17,258,,,,,,,,,,,,,
0.0521,2.5900000000000003e-05,2.18,259,,,,,,,,,,,,,
0.0294,2.6000000000000002e-05,2.18,260,,,,,,,,,,,,,
0.031,2.61e-05,2.19,261,,,,,,,,,,,,,
0.0489,2.6200000000000003e-05,2.2,262,,,,,,,,,,,,,
0.0544,2.6300000000000002e-05,2.21,263,,,,,,,,,,,,,
0.0382,2.64e-05,2.22,264,,,,,,,,,,,,,
0.0254,2.6500000000000004e-05,2.23,265,,,,,,,,,,,,,
0.0327,2.6600000000000003e-05,2.24,266,,,,,,,,,,,,,
0.0573,2.6700000000000002e-05,2.24,267,,,,,,,,,,,,,
0.0612,2.6800000000000004e-05,2.25,268,,,,,,,,,,,,,
0.0448,2.6900000000000003e-05,2.26,269,,,,,,,,,,,,,
0.0464,2.7000000000000002e-05,2.27,270,,,,,,,,,,,,,
0.0701,2.7100000000000005e-05,2.28,271,,,,,,,,,,,,,
0.0439,2.7200000000000004e-05,2.29,272,,,,,,,,,,,,,
0.0653,2.7300000000000003e-05,2.29,273,,,,,,,,,,,,,
0.0628,2.7400000000000002e-05,2.3,274,,,,,,,,,,,,,
0.0298,2.7500000000000004e-05,2.31,275,,,,,,,,,,,,,
0.0549,2.7600000000000003e-05,2.32,276,,,,,,,,,,,,,
0.0496,2.7700000000000002e-05,2.33,277,,,,,,,,,,,,,
0.0295,2.7800000000000005e-05,2.34,278,,,,,,,,,,,,,
0.0313,2.7900000000000004e-05,2.34,279,,,,,,,,,,,,,
0.027,2.8000000000000003e-05,2.35,280,,,,,,,,,,,,,
0.0422,2.8100000000000005e-05,2.36,281,,,,,,,,,,,,,
0.0636,2.8199999999999998e-05,2.37,282,,,,,,,,,,,,,
0.0436,2.83e-05,2.38,283,,,,,,,,,,,,,
0.0598,2.84e-05,2.39,284,,,,,,,,,,,,,
0.0555,2.8499999999999998e-05,2.39,285,,,,,,,,,,,,,
0.0744,2.86e-05,2.4,286,,,,,,,,,,,,,
0.0711,2.87e-05,2.41,287,,,,,,,,,,,,,
0.0291,2.88e-05,2.42,288,,,,,,,,,,,,,
0.0278,2.8899999999999998e-05,2.43,289,,,,,,,,,,,,,
0.0561,2.9e-05,2.44,290,,,,,,,,,,,,,
0.0442,2.91e-05,2.45,291,,,,,,,,,,,,,
0.0803,2.9199999999999998e-05,2.45,292,,,,,,,,,,,,,
0.0408,2.93e-05,2.46,293,,,,,,,,,,,,,
0.0271,2.94e-05,2.47,294,,,,,,,,,,,,,
0.0505,2.95e-05,2.48,295,,,,,,,,,,,,,
0.0504,2.96e-05,2.49,296,,,,,,,,,,,,,
0.0223,2.97e-05,2.5,297,,,,,,,,,,,,,
0.0677,2.98e-05,2.5,298,,,,,,,,,,,,,
0.0346,2.9900000000000002e-05,2.51,299,,,,,,,,,,,,,
0.0389,3e-05,2.52,300,,,,,,,,,,,,,
0.0359,3.01e-05,2.53,301,,,,,,,,,,,,,
0.0244,3.02e-05,2.54,302,,,,,,,,,,,,,
0.0524,3.03e-05,2.55,303,,,,,,,,,,,,,
0.045,3.04e-05,2.55,304,,,,,,,,,,,,,
0.0323,3.05e-05,2.56,305,,,,,,,,,,,,,
0.0345,3.06e-05,2.57,306,,,,,,,,,,,,,
0.0593,3.07e-05,2.58,307,,,,,,,,,,,,,
0.0332,3.08e-05,2.59,308,,,,,,,,,,,,,
0.0726,3.09e-05,2.6,309,,,,,,,,,,,,,
0.016,3.1e-05,2.61,310,,,,,,,,,,,,,
0.0446,3.1100000000000004e-05,2.61,311,,,,,,,,,,,,,
0.0486,3.12e-05,2.62,312,,,,,,,,,,,,,
0.0378,3.13e-05,2.63,313,,,,,,,,,,,,,
0.0363,3.1400000000000004e-05,2.64,314,,,,,,,,,,,,,
0.0379,3.15e-05,2.65,315,,,,,,,,,,,,,
0.0276,3.16e-05,2.66,316,,,,,,,,,,,,,
0.0597,3.1700000000000005e-05,2.66,317,,,,,,,,,,,,,
0.061,3.18e-05,2.67,318,,,,,,,,,,,,,
0.0655,3.19e-05,2.68,319,,,,,,,,,,,,,
0.0569,3.2000000000000005e-05,2.69,320,,,,,,,,,,,,,
0.0375,3.21e-05,2.7,321,,,,,,,,,,,,,
0.0582,3.2200000000000003e-05,2.71,322,,,,,,,,,,,,,
0.0663,3.2300000000000006e-05,2.71,323,,,,,,,,,,,,,
0.0613,3.24e-05,2.72,324,,,,,,,,,,,,,
0.0331,3.2500000000000004e-05,2.73,325,,,,,,,,,,,,,
0.0698,3.26e-05,2.74,326,,,,,,,,,,,,,
0.0494,3.27e-05,2.75,327,,,,,,,,,,,,,
0.0368,3.2800000000000004e-05,2.76,328,,,,,,,,,,,,,
0.0918,3.29e-05,2.76,329,,,,,,,,,,,,,
0.0382,3.3e-05,2.77,330,,,,,,,,,,,,,
0.0514,3.3100000000000005e-05,2.78,331,,,,,,,,,,,,,
0.0675,3.32e-05,2.79,332,,,,,,,,,,,,,
0.0549,3.33e-05,2.8,333,,,,,,,,,,,,,
0.0128,3.3400000000000005e-05,2.81,334,,,,,,,,,,,,,
0.0603,3.35e-05,2.82,335,,,,,,,,,,,,,
0.0433,3.3600000000000004e-05,2.82,336,,,,,,,,,,,,,
0.0192,3.3700000000000006e-05,2.83,337,,,,,,,,,,,,,
0.0491,3.38e-05,2.84,338,,,,,,,,,,,,,
0.0324,3.3900000000000004e-05,2.85,339,,,,,,,,,,,,,
0.022,3.4000000000000007e-05,2.86,340,,,,,,,,,,,,,
0.0794,3.41e-05,2.87,341,,,,,,,,,,,,,
0.0453,3.4200000000000005e-05,2.87,342,,,,,,,,,,,,,
0.0342,3.430000000000001e-05,2.88,343,,,,,,,,,,,,,
0.0626,3.4399999999999996e-05,2.89,344,,,,,,,,,,,,,
