loss,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0732,3.2200000000000003e-05,2.71,322,,,,,,,,,,,,,
0.1497,3.2300000000000006e-05,2.71,323,,,,,,,,,,,,,
0.0463,3.24e-05,2.72,324,,,,,,,,,,,,,
0.087,3.2500000000000004e-05,2.73,325,,,,,,,,,,,,,
0.0406,3.26e-05,2.74,326,,,,,,,,,,,,,
0.0381,3.27e-05,2.75,327,,,,,,,,,,,,,
0.1194,3.2800000000000004e-05,2.76,328,,,,,,,,,,,,,
0.0377,3.29e-05,2.76,329,,,,,,,,,,,,,
0.0394,3.3e-05,2.77,330,,,,,,,,,,,,,
0.061,3.3100000000000005e-05,2.78,331,,,,,,,,,,,,,
0.0476,3.32e-05,2.79,332,,,,,,,,,,,,,
0.0815,3.33e-05,2.8,333,,,,,,,,,,,,,
0.0633,3.3400000000000005e-05,2.81,334,,,,,,,,,,,,,
0.0651,3.35e-05,2.82,335,,,,,,,,,,,,,
0.0691,3.3600000000000004e-05,2.82,336,,,,,,,,,,,,,
0.1339,3.3700000000000006e-05,2.83,337,,,,,,,,,,,,,
0.1237,3.38e-05,2.84,338,,,,,,,,,,,,,
0.0568,3.3900000000000004e-05,2.85,339,,,,,,,,,,,,,
0.0495,3.4000000000000007e-05,2.86,340,,,,,,,,,,,,,
0.0746,3.41e-05,2.87,341,,,,,,,,,,,,,
0.0539,3.4200000000000005e-05,2.87,342,,,,,,,,,,,,,
0.0533,3.430000000000001e-05,2.88,343,,,,,,,,,,,,,
0.0582,3.4399999999999996e-05,2.89,344,,,,,,,,,,,,,
0.0861,3.45e-05,2.9,345,,,,,,,,,,,,,
0.0935,3.46e-05,2.91,346,,,,,,,,,,,,,
0.0781,3.4699999999999996e-05,2.92,347,,,,,,,,,,,,,
0.0698,3.48e-05,2.92,348,,,,,,,,,,,,,
0.0596,3.49e-05,2.93,349,,,,,,,,,,,,,
0.0563,3.5e-05,2.94,350,,,,,,,,,,,,,
0.0814,3.51e-05,2.95,351,,,,,,,,,,,,,
0.0524,3.52e-05,2.96,352,,,,,,,,,,,,,
0.1045,3.53e-05,2.97,353,,,,,,,,,,,,,
0.0905,3.54e-05,2.97,354,,,,,,,,,,,,,
0.043,3.55e-05,2.98,355,,,,,,,,,,,,,
0.07,3.56e-05,2.99,356,,,,,,,,,,,,,
0.0755,3.57e-05,3.0,357,,,,,,,,,,,,,
,,3.0,357,0.09175329655408859,0.837772397094431,0.817966903073286,0.8277511961722488,0.9796359148410985,1.2151,348.125,22.221,,,,,
0.0348,3.58e-05,3.01,358,,,,,,,,,,,,,
0.0826,3.59e-05,3.02,359,,,,,,,,,,,,,
0.077,3.6e-05,3.03,360,,,,,,,,,,,,,
0.0763,3.61e-05,3.03,361,,,,,,,,,,,,,
0.0341,3.62e-05,3.04,362,,,,,,,,,,,,,
